"","NADA_at","NADC_at","YCDH_at","YCIC_at","YHFH_r_at","YHZA_at","YOPF_i_at","YRBA_at","YRZI_r_at","YTIA_at"
"b_Fbat107PT24.CEL",7.35990425342927,7.61122293321969,10.8784449136846,12.2084773406463,8.23934707152953,11.5609951348246,7.40461429097825,6.77580418164627,9.64010674203774,11.9492778941031
"b_Fbat107PT30.CEL",7.79175428038991,8.15674352774363,10.8299257121486,12.0540822345669,9.4933017646886,11.846426189133,7.88298102030077,7.47342349824304,10.0725407360595,12.1016164356865
"b_Fbat107PT48.CEL",10.6806617220924,10.7119609441031,11.0504265201479,12.2651876886143,6.83597729221906,11.8780442379667,7.56030184646243,10.0839756497561,9.84242205885705,11.8808807864766
"b_Fbat107PT52.CEL",10.845475263543,10.7108765366662,11.0563533659954,12.13605821579,6.81002663748898,11.0842194183878,8.5106225737153,10.0290430835409,9.73684965439121,12.2565361394233
"knh_102_Fbat289PT24.CEL",8.29182700521347,8.37556162358871,9.12436437378693,7.93076135732616,10.1715463470534,8.79241012624153,8.54454117538301,7.79922650167806,7.38804789052801,8.86675255751725
"knh_103_Fbat289PT48.CEL",9.53159251487588,9.45688326656155,10.0557073502878,11.3175582137432,9.35340158203304,10.932993432638,7.82592029671596,9.06523762183219,8.50106053037646,11.1052685437483
"knh_490_BS0001_Fbat1070_PT24_1.Rep.CEL",8.8159719759121,8.57026232843694,8.85063172524092,8.14580607244358,8.4038695516899,8.84373257836466,10.2426346467832,8.41911321183337,9.62618389984974,9.42566093682112
"knh_491_BS0001_Fbat1070_PT30_1.Rep.CEL",11.4649447749786,11.2524722320559,10.5375962574646,11.3313668875294,9.86227552601457,11.7777409990354,5.43914171429478,11.2572802996938,10.5109577889925,11.2535227500189
"knh_492_BS0001_Fbat1070_PT48_1.Rep.CEL",9.24799965227209,9.02935944941867,10.7487484089159,11.0441854246712,7.85547569352475,11.9699477055455,10.0797005617714,8.78758480844158,10.087749046594,12.0878962186286
"knh_494_BS0001_Fbat1077_PT24_2.Rep.CEL",8.33158584243819,8.3222605459892,8.73156414605731,7.83818465732305,9.65953305118135,9.47886932697414,8.87338484903675,8.03971045743126,8.38906960016219,8.59069797347035
"knh_495_BS0001_Fbat1077_PT30_2.Rep.CEL",9.79575875442981,9.69665276370402,9.29520473024204,10.2418279117807,9.52263663228267,11.3377898675929,8.98263386013025,9.4090566307166,8.9762629698221,10.1056010581592
"knh_496_BS0001_Fbat1077_PT48_2.Rep.CEL",8.94430216147216,8.98002185608949,9.65973919490681,10.2682715289431,8.74173672235195,11.1575328349496,8.70542533969607,8.4487030013198,8.64531174341107,11.3406551852914
"knh_498_BS0001_Fbat1091_PT24_3.Rep.CEL",8.11169330520023,8.41547479565691,9.22316310643153,7.96252985778252,8.79537217331542,9.18569631939909,8.34288599178836,7.87718455466152,9.22148990570174,9.15482508349909
"knh_499_BS0001_Fbat1091_PT30_3.Rep.CEL",9.44363613979098,9.43829615063807,10.3503299802466,11.0294593220959,9.04632141325336,11.7625842056385,6.1494933389122,9.36736269781617,10.2139107359489,11.1484687699404
"knh_500_BS0001_Fbat1091_PT48_3.Rep.CEL",9.58982304645713,9.44116469650545,10.2585704741561,10.9000054608825,8.41074407490025,12.156412750592,7.880982561789,9.37455415310373,9.57548070144863,11.5746870832837
"knh_502_BS3416_E_Fbat1071_PT24_1.Rep.CEL",7.27704534003719,7.53772548587753,6.28023519793928,6.87974896607746,10.342708192822,7.63778780227858,5.63564332435962,6.92629279550658,10.9826007490321,7.21583773497732
"knh_503_BS3416_E_Fbat1071_PT30_1.Rep.CEL",7.05075482957225,7.41921491092566,6.43868270983834,6.98727959867558,10.013352830422,7.6975765074116,6.15498359609382,6.79417446247448,11.167062932137,7.29160752044193
"knh_504_BS3416_E_Fbat1071_PT48_1.Rep.CEL",8.96229851955805,8.76155283693663,8.5074502462918,7.27189955879111,8.19146043989213,7.96812689496729,6.87054784463395,8.69875222105609,9.6268976072437,8.06672423103939
"knh_506_BS3416_E_Fbat1078_PT24_2.Rep.CEL",8.5089600514679,8.74547958106557,6.70971926626271,7.36220921446483,9.45926444044638,8.21737462330631,9.01839820518504,8.09192545995889,9.27680292231122,7.86670164329616
"knh_507_BS3416_E_Fbat1078_PT30_2.Rep.CEL",7.83651952548572,8.04715506335871,6.87810216032938,7.18459859211061,10.2558988489589,8.05136544262923,8.23885978285432,7.39614043676125,10.2266352750554,7.63508227244183
"knh_508_BS3416_E_Fbat1078_PT48_2.Rep.CEL",9.20911226836212,8.88498146753675,8.04476782209779,7.49111179106348,8.19251678562219,7.97192066793806,9.52914838433869,9.1661729735454,8.92238040973243,7.98013046385745
